Listing Title,Listing SEO Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbrevation,Listing Region,Listing Region Abbrevation,Listing State,Listing State Abbrevation,Listing City,Listing City Abbrevation,Listing Neighborhood,Listing Neighborhood Abbrevation,Listing Postal Code,Listing Latitude,Listing Longitude,Listing Phone,Listing Short Description,Listing Long Description,Listing SEO Description,Listing Keywords,Listing Renewal Data,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template,Listing DB id,Custom ID,Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Email,Account Contact URL
Juban's,Juban's Baton Rouge,,https://www.jubans.com/,3739 Perkins Rd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 346-8422,"Est. 1983, Jubans' distinctive flavor and unforgettable atmosphere make every dining occasion a deli",,,,12/31/2050,Active,Silver,Restaurants->Cajun/Creole,Event Planning & Services->Venues & Event Spaces,Nightlife->Bars,,,New Listing Template,,,,,,,,,,,,,,,,
The Sportsbook at L'Auberge Baton Rouge,The Sportsbook at L'Auberge Baton Rouge Baton Rouge,,https://www.lbatonrouge.com/casino/sportsbook/,777 L'auberge Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70820,,,(225) 224-4122,"ESPN BET is Baton Rouge's home for sports betting, featuring big screens, a restaurant, and a wide variety of sports to bet on.","ESPN BET in Baton Rouge offers a comprehensive sports betting experience with big screens to watch games, a restaurant, and numerous sports betting kiosks available 24/7. The venue provides a place to bet on and watch your favorite teams, enjoy food and drinks, and experience the game-day action with friends. The ESPN BET app offers exclusive odds boosts and custom offers for online wagering.",,,12/31/2050,Active,Silver,Restaurants->American,Restaurants->Chicken Wings,Nightlife->Bars->Sports Bars,,,New Listing Template,,,,,,,,,,,,,,,,
Thai Kitchen,Thai Kitchen Baton Rouge,thaikitchenbrla@gmail.com,https://www.thaikitchenla.com/,4550 Concord Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 346-1230,"Authentic Thai flavors since 1989, offering a variety of Thai and Dim-Sum dishes.","Family-owned and operated, Thai Kitchen has been a Baton Rouge staple for authentic Thai flavors since 1989. Our extensive menu offers a variety of Thai, Dim-Sum, daily drink specials, and a great happy hour! Food is prepared fresh, and herbs are grown in-house for a fresh and organic bite in every dish. Our inviting space is perfect for an intimate evening or large groups alike, with extensive indoor and outdoor seating, plus live music, and an inviting sports bar. Voted Best Thai Restaurant by 225 & Dig Magazine.",,,12/31/2050,Active,Silver,Restaurants->Thai,Restaurants->Sushi Bars,Nightlife->Bars->Sports Bars,,,New Listing Template,,,,,,,,,,,,,,,,
L A Daiquiris,L A Daiquiris Baton Rouge,,https://www.facebook.com/people/La-Daiquiris/100066774621654/?sk=about,1962 Oneal Ln,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70816,,,(225) 752-1962,La Daiquiris is a Bar.,,,,12/31/2050,Active,Silver,Nightlife->Bars->Sports Bars,Nightlife->Karaoke,Nightlife->Bars->Cocktail Bars,,,New Listing Template,,,,,,,,,,,,,,,,
Tip Off Sports Bar & Grill,Tip Off Sports Bar & Grill Baton Rouge,,,2972 Florida Blvd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70802,,,(225) 256-2254,,,,,12/31/2050,Active,Silver,Nightlife->Bars->Sports Bars,Restaurants->Burgers,Restaurants->Seafood,,,New Listing Template,,,,,,,,,,,,,,,,
Zea Rotisserie & Bar,Zea Rotisserie & Bar Denham Springs,,https://zearestaurants.com/location/denham-springs/,27186 Crossing Cir,,United States,US,,,Louisiana,LA,Denham Springs,,,,70726,,,(225) 998-0111,"Zea Rotisserie & Bar - Denham Springs. Weâre fired up about sharing amazing flavors with our delicious rotisserie, Handcrafted cocktails, and an experience like no other.","Weâre fired up about sharing amazing flavors with our delicious rotisserie, Handcrafted cocktails, and an experience like no other.",,,12/31/2050,Active,Silver,Restaurants->New American,Restaurants->French,Nightlife->Bars->Cocktail Bars,,,New Listing Template,,,,,,,,,,,,,,,,
Daiquiri Cafe,Daiquiri Cafe Baton Rouge,,,2742 S Sherwood Forest Blvd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70816,,,(225) 291-5033,,,,,12/31/2050,Active,Silver,Nightlife->Bars,Restaurants->Cafes,,,,New Listing Template,,,,,,,,,,,,,,,,
Applebee's Grill + Bar,Applebee's Grill + Bar Baton Rouge,,https://restaurants.applebees.com/en-us/locations/la/baton-rouge/9702-airline-highway/4048,9702 Airline Hwy,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70816,,,(225) 924-3001,"Casual dining restaurant offering American cuisine in Baton Rouge, LA.","Applebee's Neighborhood Grill + Bar is a full-service restaurant chain offering a varied menu of American cuisine. This location at 9702 Airline Hwy in Baton Rouge, LA, provides a casual dining experience with a focus on grill items, appetizers, and beverages. While specific details may vary, Applebee's generally aims to provide a welcoming atmosphere for families and individuals alike. The restaurant also offers online ordering and delivery services.",,,12/31/2050,Active,Silver,Restaurants->American,Nightlife->Bars->Sports Bars,Restaurants->Burgers,,,New Listing Template,,,,,,,,,,,,,,,,
Zorba's Greek Bistro,Zorba's Greek Bistro Baton Rouge,opa@zorbasbistro.com,https://www.zorbasbistro.com/,5713 Essen Ln,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70810,,,(225) 444-5074,"Zorba's Greek Bistro is located at 5713 Essen Lane, Suite B, Baton Rouge, LA 70810. Reservations are recommended due to limited seating. Contact number: (225) 444-5074. Catering orders must be placed at least 24 hours in advance of pickup time.","Zorba's Greek Bistro is located in Baton Rouge, LA. The bistro's hours are Tuesday - Thursday 11am - 2pm & 5pm â 8:30pm, Friday 11am - 2pm & 5pm â 9:30pm, Saturday 5pm â 9:30pm, and Sunday & Monday Closed. For catering & private party inquiries, contact opa@zorbasbistro.com. Catering orders must be placed at least 24 hours in advance of pickup time. For reservations, please call 225-444-5074.",,,12/31/2050,Active,Silver,Restaurants->Greek,Nightlife->Bars->Wine Bars,,,,New Listing Template,,,,,,,,,,,,,,,,
Shooters Lounge,Shooters Lounge Plaquemine,,,22405  Hwy 1,,United States,US,,,Louisiana,LA,Plaquemine,,,,70764,,,(225) 687-3255,,,,,12/31/2050,Active,Silver,Nightlife->Bars->Lounges,,,,,New Listing Template,,,,,,,,,,,,,,,,
Buffalo Wild Wings,Buffalo Wild Wings Baton Rouge,bwwbatonrouge@brcoxmail.com,https://www.buffalowildwings.com,7524 Blue Bonnet Blvd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70810,,,(225) 819-8438,Sports bar chain serving wings & other American fare amid TVs broadcasting sporting events.,"Buffalo Wild Wings is a restaurant and sports bar. The menu includes wings, burgers, sandwiches, salads, and appetizers. The restaurant also has a full bar with a wide selection of beers, wines, and cocktails. Buffalo Wild Wings is a popular place to watch sporting events, and the restaurant typically has a large crowd during games.",,,12/31/2050,Active,Silver,Restaurants->Chicken Wings,Restaurants->American,Nightlife->Bars->Sports Bars,,,New Listing Template,,,,,,,,,,,,,,,,
The Cottage Inn,The Cottage Inn Prairieville,,https://www.facebook.com/p/The-Cottage-Inn-100077894899044/,14214 Hwy 73,,United States,US,,,Louisiana,LA,Prairieville,,,,70769,,,(225) 673-6755,Coldest beer in town and the prettiest smiles around !,,,,12/31/2050,Active,Silver,Nightlife->Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Lorraine's Pub & Grub,Lorraine's Pub & Grub Walker,lorrainespub@gmail.com,https://www.facebook.com/p/Lorraines-Pub-and-Grub-100089587041987/,8837 Florida Blvd,,United States,US,,,Louisiana,LA,Walker,,,,70785,,,(225) 380-5244,YOUR NEW FAVORITE SPOT ð,,,,12/31/2050,Active,Silver,Restaurants->Burgers,Nightlife->Bars->Sports Bars,Restaurants->Pizza,,,New Listing Template,,,,,,,,,,,,,,,,
"Double ""D"" Daiquiris","Double ""D"" Daiquiris Denham Springs",,https://double-d-daiquiris.wheree.com/,32334 La Hwy 16,,United States,US,,,Louisiana,LA,Denham Springs,,,,70726,,,(225) 243-5688,"Double D Daiquiris stands out as a vibrant and inviting establishment, renowned for its exceptional selection of daiquiris and lively atmosphere.","Located in Denham Springs, this unique destination boasts an extensive array of flavors that cater to every palateâfrom classic favorites to innovative concoctions like the beloved Eggnog daiquiri. The visually appealing space features comfortable seating arrangements, eye-catching black lights, and televisions for sports enthusiasts, creating a dynamic environment perfect for unwinding with friends or enjoying live music nights. Customers appreciate the professional yet friendly service provided by well-trained bartenders who ensure each drink is crafted to perfection. With both indoor seating and a convenient drive-thru option available, guests can easily choose how they wish to indulge in their favorite frozen treats without compromising on quality or experience. Notably, the establishment fosters a non-smoking ambiance that enhances enjoyment while offering entertainment options such as karaoke nights and live bands. Double D Daiquiris has garnered attention not only for its great prices but also for the consistently welcoming vibe created by attentive staff members dedicated to enhancing customer satisfaction. This local gem exemplifies what it means to enjoy casual hangouts with ample choices in beveragesâmaking it an essential stopover when seeking refreshing drinks paired with good times among friends.",,,12/31/2050,Active,Silver,Restaurants->Barbeque,Nightlife->Bars->Lounges,Nightlife->Bars->Cocktail Bars,,,New Listing Template,,,,,,,,,,,,,,,,
Plush Bar & Grill,Plush Bar & Grill Baton Rouge,filler@godaddy.com,https://plushbarandgrill.com/,4250 Burbank Dr,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,,Plush Bar & Grill is your neighborhood haven offering all the essentials for great times!,"We are your neighborhood haven offering all the essentials for great times! Come enjoy daiquiris and mixed cocktails poured just right, fresh and high quality food featuring bar favorites with a twist, variety flavored hookahs, and entertainment to include live music and a house DJ playing all the hits to keep it all flowing. So no matter if you want to come in and enjoy a delicious and quick lunch, happy hour specials after work, weekend fun with adult vibes, or Sunday brunch with family we are the place for you! Come experience great vibes in a laid-back, comfortable, and stylish environment.",,,12/31/2050,Active,Silver,Nightlife->Bars,Restaurants->Seafood,Restaurants->Cajun/Creole,,,New Listing Template,,,,,,,,,,,,,,,,
Hooters,Hooters Baton Rouge,,https://www.hooters.com/locations/31506-siegen-lane/,6454 Siegen Ln,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70809,,,(225) 293-1900,"Chicken Wings & Sports Bar in Baton Rouge, Louisiana.","Enjoy world famous wings and a great beer selection at Hooters of Siegen Lane. Eat-in or carryout, the best food in Louisiana can always be found right in Baton Rouge. Daily happy hour specials, drink specials and craft beer on tap.",,,12/31/2050,Active,Silver,Nightlife->Bars->Sports Bars,Restaurants->American,Restaurants->Chicken Wings,,,New Listing Template,,,,,,,,,,,,,,,,
Sporting News Grill,Sporting News Grill Baton Rouge,,https://www.225batonrouge.com/article/sporting-news-grill/,4848 Constitution Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 636-5347,A sports bar inside Holiday Inn Select off College Drive with more than 30 HD flat screens. Offers a diverse menu for a hotel restaurant in a modern-dÃ©cor setting.,"Sporting News Grill is a sports bar located inside the Holiday Inn Select off College Drive. It features more than 30 HD flat screens and a staff who will cater to your menu choices and television programming picks. The grill offers a surprisingly diverse menu for a hotel restaurant, including sandwiches, steaks, seafood, a classic French Nicoise Salad, Jack Danielâs Glazed Salmon, and 12-inch pizza pies.",,,12/31/2050,Active,Silver,Nightlife->Bars->Pubs,Restaurants->American,Nightlife->Bars->Sports Bars,,,New Listing Template,,,,,,,,,,,,,,,,
Zippy's Burritos Tacos & More,Zippy's Burritos Tacos & More Baton Rouge,,https://www.zippysburritos.com/,3155 Perkins Rd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 388-9000,"Zippy's offers a variety of options for parties and catering, including room rentals, advance orders, and cocktail parties.","Zippy's offers room rentals, advance orders, and cocktail parties. Room rentals require a minimum of 50 people, and pricing can be obtained by calling. Advance orders require a minimum of 25 people and a $500 minimum order, plus tax and 18% gratuity, with tables saved with 48-hour notice for menu ordering. Cocktail parties also require a minimum of 25 people and a $500 minimum, plus tax and 18% gratuity, with tables saved with 48-hour notice for menu ordering. Cocktail party menu items include $11 quesadilla strips, $4.75 tacos, $3.50 flautas, $4.50 empanadas, and a $14.95 Zippy Dipper with salsa, guac, and queso. Contact Jerrica or Josh for more party information at 225-388-9000.",,,12/31/2050,Active,Silver,Restaurants->Tex-Mex,Nightlife->Bars->Sports Bars,,,,New Listing Template,,,,,,,,,,,,,,,,
Palace,Palace Baton Rouge,,https://www.facebook.com/p/The-Palace-2300-100063654242996/,2310 Scenic Hwy,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70802,,,(504) 401-1838,"The Palace 2300, Baton Rouge, Louisiana. Dance & Night Club.","The Palace 2300 is a dance and night club located in Baton Rouge, Louisiana. It has a Facebook page with 472 likes and 4810 check-ins. It is also listed on Instagram, Tripadvisor, X (formerly Twitter), Manta, and Around Airports. News articles indicate it was temporarily shut down in January 2021 for overcrowding concerns.",,,12/31/2050,Active,Silver,Nightlife->Bars,Restaurants->American,Arts & Entertainment->Music Venues,,,New Listing Template,,,,,,,,,,,,,,,,
"TJ Ribs, Acadian","TJ Ribs, Acadian Baton Rouge",,https://tjribs.com/,2324 S Acadian Thruway,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 383-7427,Legendary Louisiana BBQ restaurant.,"TJ Ribs on Acadian Thruway is a Legendary Louisiana BBQ restaurant. They are a proud sponsor of LSU Sports. They offer catering, gift cards, and event space booking. ",,,12/31/2050,Active,Silver,Nightlife->Bars,Restaurants->Seafood,Restaurants->American,,,New Listing Template,,,,,,,,,,,,,,,,
Roy's Daiquiris,Roy's Daiquiris Prairieville,,https://www.facebook.com/royal.daiquiris.5/,38501 Highway 42,,United States,US,,,Louisiana,LA,Prairieville,,,,70769,,,(225) 673-6300,Homemade fresh daiquiris everyday. Never a cover charge. Live bands and djâs on weekends only!,Homemade fresh daiquiris everyday. Never a cover charge. Live bands and djâs on weekends only!,,,12/31/2050,Active,Silver,Nightlife->Bars->Lounges,Nightlife->Bars->Cocktail Bars,,,,New Listing Template,,,,,,,,,,,,,,,,
TrickShots Sports Bar,TrickShots Sports Bar Denham Springs,,https://trickshotssportsbar.com/,6865 Magnolia Beach Rd,,United States,US,,,Louisiana,LA,Denham Springs,,,,70706,,,(225) 667-0205,Delicious Drinks and Friendly Atmosphere. Because Regular Shots are Boring!,"TrickShots Sports Bar is owned by Justin and Angela Winfree. It offers pool tables and tournaments for all skill levels, as well as league services. They have happy hour every weekday from 12pm-6pm! They also have Shuffleboard, Whiskey/Bourbon, and hold weekly events.",,,12/31/2050,Active,Silver,Nightlife->Bars->Sports Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Walk-On’s Sports Bistreaux,Walk-On’s Sports Bistreaux Brusly,,,437 Oak Plaza Blvd,,United States,US,,,Louisiana,LA,Brusly,,,,70719,,,(225) 218-4599,,,,,12/31/2050,Active,Silver,Restaurants->American,Nightlife->Bars->Sports Bars,Restaurants->Cajun/Creole,,,New Listing Template,,,,,,,,,,,,,,,,
Ray's Bar,Ray's Bar Baton Rouge,,https://www.raysbar.com/,4715 Bennington Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 927-3222,Permanently closed pub & bar in Baton Rouge,"Triple A Bar is a permanently closed pub & bar in Baton Rouge. The price range per person is $25-$50. It is located at 4715 Bennington Ave, Baton Rouge, Louisiana, USA.",,,12/31/2050,Active,Silver,Nightlife->Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Gameday Daiquiris,Gameday Daiquiris Baton Rouge,Thekehlllc@icloud.com,https://m.facebook.com/cjsdaiquiris/,4525-4599 Bennington Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,,Daiquiri Shop and Neighborhood Sports Bar,"The Facebook page promotes CJ's Daiquiris, highlighting their daiquiris and sports bar atmosphere. A recent post advertises $5.50 mimosas all day.",,,12/31/2050,Active,Silver,Nightlife->Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Chili's,Chili's Baton Rouge,welcometochilis@chilis.com,https://www.chilis.com/locations/us/louisiana/baton-rouge/baton-rouge,4550 Constitution Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 927-0035,,,,,12/31/2050,Active,Silver,Restaurants->American,Nightlife->Bars,Restaurants->Tex-Mex,,,New Listing Template,,,,,,,,,,,,,,,,
Jones Creek Cafe & Oyster Bar,Jones Creek Cafe & Oyster Bar Baton Rouge,info@jonescreekcafe.com,https://www.jonescreekcafe.com/,15005 Market St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70817,,,(225) 755-3550,"Jones Creek Cafe & Oyster Bar is located in Southeast Baton Rouge, LA, serving seafood dishes. They offer Louisiana's freshest oysters, Creole Gumbo, and Charbroiled Oysters.","Jones Creek Cafe & Oyster Bar is a Baton Rouge restaurant that has been serving the area for 35 years. It offers daily lunch specials, nightly dinner specials, and Sunday brunch. Diners can choose between the family-friendly Cafe, the Oyster Bar with TVs, or the outdoor patio with a fireplace. They also offer space to host events like group meetings, banquets, and special occasion dinners.",,,12/31/2050,Active,Silver,Restaurants->Seafood,Nightlife->Bars->Sports Bars,,,,New Listing Template,,,,,,,,,,,,,,,,
Pluckers,Pluckers Baton Rouge,dbarrish@pluckers.net,https://www.pluckers.com/,4225 Nicholson Dr,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 761-9464,"Pluckers Wing Bar location in College Station, TX.","Pluckers in College Station offers daily specials, including $1 wings on St. Paddy's Day, $1 off Pluckers Cocktails on Sundays, 5 free wings with the purchase of 10 on Mondays, All You Can Eat Wings on Mondays, Kids Eat Free on Tuesdays, Trivia on Wednesdays, Free Appetizer on Thursdays, and Teacher Freebie Friday.",,,12/31/2050,Active,Silver,Restaurants->Chicken Wings,Nightlife->Bars->Sports Bars,,,,New Listing Template,,,,,,,,,,,,,,,,
Diamondz Sports Bar & Lounge,Diamondz Sports Bar & Lounge Baton Rouge,,,6046 Airline Hwy,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70805,,,,Sports Bar,,,,12/31/2050,Active,Silver,Nightlife->Bars->Sports Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Walk-On's Sports Bistreaux - Burbank Restaurant,Walk-On's Sports Bistreaux - Burbank Restaurant Baton Rouge,,https://walk-ons.com/,3838 Burbank Dr,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 757-8010,Sports bar and restaurant offering scratch-made dishes and a Louisiana-rooted family atmosphere.,"Walk-Onâs Sports Bistreaux is your home away from home. Our restaurant and bar offer attention to detail and culinary excellence blended with service that pulls on our Louisiana roots, making you feel like family the moment you walk in. We pride ourselves in scratch-made dishes like fresh, never-frozen seafood, burgers, salads, some Cajun/Creole specialties to add a little spice and extensive beer taps and cocktail offerings. At Walk-On's, we treat every community like it's our homecourt - making friends and supporting our neighbors. Our love of the game means we're always fun, never forced, and our doors are open to anyone.",,,12/31/2050,Active,Silver,Restaurants->American,Nightlife->Bars->Sports Bars,Restaurants->Cajun/Creole,,,New Listing Template,,,,,,,,,,,,,,,,
Uncle Moe's Food Mart & Deli,Uncle Moe's Food Mart & Deli Baton Rouge,,,5557 Plank Rd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70805,,,(225) 771-8936,Quick bites such as cheeseburgers and po' boys.,Convenience store offering quick bites such as cheeseburgers and po' boys.,,,12/31/2050,Active,Silver,Restaurants->Burgers,Restaurants->Greek,Nightlife->Bars,,,New Listing Template,,,,,,,,,,,,,,,,
New Orleans Original Daiquiris,New Orleans Original Daiquiris Gonzales,,https://www.nolaoriginal.com/,1006 N Airline Hwy,,United States,US,,,Louisiana,LA,Gonzales,,,,70737,,,(225) 647-6020,New Orleans Original Daiquiris serves the original and best New Orleans frozen daiquiris since 1983.,"New Orleans Original Daiquiris offers a variety of frozen daiquiri flavors, available for dine-in or to-go. The company has multiple locations with drive-through options.",,,12/31/2050,Active,Silver,Nightlife->Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Jl's,Jl's Baton Rouge,,https://www.instagram.com/jlsplacebr/,1115 Bob Pettit Blvd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70820,,,(225) 765-7557,A great place to watch some sports and have a drink.,"A great place to watch some sports and have a drink.
Geaux Tigers!

1115 Bob Petit Blvd, Baton Rouge, Louisiana",,,12/31/2050,Active,Silver,Nightlife->Bars->Sports Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
